time,qPTAM0,qPTAMi,qPTAMj,qPTAMk,XPTAM,YPTAM,ZPTAM
135.28,-0.4920455529278865,-0.7114878062897129, 0.4116847195941019, 0.2866896748180798,  5.000709762538555,  2.077498897926694,  51.71655015529212
135.51,-0.4968668213527934,-0.7090167756130061, 0.4096985372170457, 0.2873407123780907,   5.02562409530808,  2.055413367691813,  51.79687013648744
135.75,-0.5020642659352961,-0.7055168209521825, 0.4084678583742886,  0.288670226294865,  5.059114455901033,   2.02245296225354,  51.90259436771506
135.99,-0.5068350924821469,-0.7016291380071568, 0.4071834714342382, 0.2916082388553844,   5.08844889670878,  1.992654061727487,  52.00794900303571
136.24,-0.5113138134360351,-0.6972234142520037, 0.4067480909258182, 0.2949452287902089,  5.114095840705093,  1.964780851464043,  52.10930790963384
136.49,-0.5154818472702762,-0.6932362623052726, 0.4055984273754222, 0.2986484021722728,  5.137086892581923,  1.938071872032859,  52.20372333717768
136.69,-0.5181137231965697,-0.6906775806228301, 0.4047272322943002, 0.3011934918775741,  5.153308415784704,  1.919193301255652,  52.27391457482683
136.91, -0.520458959609315,-0.6877392476624351, 0.4039789045881753, 0.3048561068511884,  5.172963924216173,  1.895290692687399,  52.35158261211895
137.17,-0.5248979771357509,-0.6824857772327619,  0.401543563601843, 0.3121811119420113,    5.2113933176065,  1.846202414581986,  52.50500248459716
137.41,-0.5287305359681685,-0.6792398789111352, 0.4002888639981219, 0.3143963028413674,  5.228569659974075,  1.825778920240639,  52.58867599051469
137.66,-0.5324252409783135,-0.6758154193866324, 0.3978463779833598, 0.3186128432182309,  5.253438702014487,  1.794520738890115,  52.69629224699654
137.88,-0.5370161049769333,-0.6721369420197014, 0.3961709867941297, 0.3207696775569679,  5.276393600732626,   1.76620889162055,  52.80518583433855
138.12,-0.5404527216175364,-0.6695335146163645, 0.3941779403116598, 0.3228908213668236,  5.293465984131441,  1.745642970023237,  52.88270790426688
138.37,-0.5427934461433926,-0.6675761111380424, 0.3909852628133145, 0.3268744982007921,  5.313399147850512,  1.719800882909144,  52.96330944150105
138.59,-0.5457132935236962,-0.6654568451995321, 0.3883228993324173, 0.3294973701750887,  5.336322164976389,   1.68991815335107,  53.04758613020389
138.84, -0.549693744252904,-0.6631416742837684, 0.3849799805921721, 0.3314654198407766,   5.36105684937862,  1.657136787744374,  53.13272356486483
139.08,-0.5554896358633774,-0.6589184904411463, 0.3813034446401075, 0.3344613178804839,   5.39029212601124,  1.613768216197037,  53.24036187161303
139.32, -0.561225447873706,-0.6551166448744032, 0.3786947537418064, 0.3353169611062402,  5.415387144081873,  1.573981972041677,  53.34198205361485
139.6,-0.5655263118550882,-0.6524902453219037, 0.3774064274690503, 0.3346638037105601,  5.431235089959373,  1.546135715274599,  53.42129492259987
139.81,-0.5701848632569894,-0.6490483452571595, 0.3759497034603887, 0.3350914656466587,   5.44826571776678,  1.513317919602302,  53.50674008043456
140.04,-0.5726703661635413,-0.6469208640175017, 0.3745595756118272, 0.3365206893848889,  5.463259648801393,  1.486583298790248,  53.57208278779648
140.27,-0.5754033224487938,-0.644606319404267,0.3734185593361082,0.3375667218372499, 5.475827050907267, 1.463487120528369, 53.62594560173454
140.55,-0.5824234476743758,-0.6382756409468989, 0.3704830980259726, 0.3407761882814361,  5.511535635004055,  1.389092272820896,  53.77753782247275
140.8,-0.5882609415615185,-0.6332890456272029, 0.3682678545112129, 0.3424497617243707,  5.531976706090286,  1.341988200379879,  53.88861086442024
141.1,-0.5946162382546877,-0.6273617653926044, 0.3664775168751348, 0.3442992547217943,  5.549828573211186,  1.292556723782256,  54.01619451478258
141.35,-0.5967322044990938,-0.6248991436026833, 0.3679180066615485, 0.3435798007189965,  5.551845406794847,  1.285540107077638,  54.07218691501728
141.56,-0.5996792090168247,-0.6213368130780378, 0.3667664257414284, 0.3461311927368992,  5.564076118488933,  1.250212684571451,  54.16073022466615
141.83,-0.6026153525475239,-0.6170850545326477, 0.3660748425712284, 0.3493550981917126,  5.576922697831925,  1.213336164421711,  54.25540754721308
142.07,-0.6050904894681131,-0.6132600258937837, 0.3648828176136285, 0.3530399017900988,  5.592319516684489,  1.173377148428331,  54.34922156187568
142.32,-0.6070855062659002,-0.6106956049225305,  0.362681091848526, 0.3563137584704936,  5.604344592331507,  1.143926461665985,  54.42593830607389
142.57,-0.6112990684550437,-0.6060346466991267, 0.3589445533164056, 0.3608230400076669,  5.623287343750749,  1.090188491278268,  54.55048279688361
142.83,-0.6152672067980541,-0.6023631785178595, 0.3570110422469004, 0.3621422148385795,  5.635509596600752,  1.055469358561409,  54.64741490973134
143.01,-0.6185220735815817,-0.5986948469974587, 0.3546417869715376, 0.3649974386955242,  5.648490355887917,  1.018738720047664,   54.7442043953313
143.26,-0.6225829464462713,-0.5949987860600821, 0.3514675896270706, 0.3672008380609629,  5.661159489348329, 0.9811270318965094,  54.84263204012378
143.47,-0.6256493788828381,-0.5921867563303782, 0.3495547700854642, 0.3683587459129358,  5.669115234690378, 0.9542083622588757,  54.92126127946031
143.72,-0.6303052226461565,-0.5887369208974191, 0.3460173271962094, 0.3692900976289846,  5.682714437739931, 0.9100548129716328,  55.03214136953982
143.99,-0.6355819874356133,-0.5850611416513024,  0.341870215873291,  0.369949666745961,  5.697616389153281, 0.8573147278342853,  55.16150870363502
144.27,-0.6400042275668588,-0.5811508631368217, 0.3398449677772322, 0.3703547805793727,  5.705404686003679, 0.8252069159287295,  55.26260015705594
144.47,-0.6432136867046045,-0.5783885427384112, 0.3377854945528869, 0.3710024382454887,  5.710546330719587, 0.8011517877755202,  55.34125245453507
144.72,-0.6470653547825537,-0.5749731741795573, 0.3343264632921659, 0.3727426648590049,  5.718437529691897, 0.7589363150330424,  55.45019877165561
144.97,-0.6510240290550828,-0.5705930920198941, 0.3323545849940889, 0.3743403123029879,  5.724041360817448, 0.7188794815153052,  55.55810840620495
145.23,-0.6546333770194385,-0.5660866852565948, 0.3300271124475339, 0.3769378120678496,  5.728552944093592, 0.6794438783079695,  55.66540262606773
145.47,-0.6571195017839435,-0.5621975939503379, 0.3298180729234458, 0.3786117630956088,  5.732114651947153, 0.6513336987207221,  55.74781207732585
145.73,-0.6608712800056218,-0.555874585772465,0.3286189146100765,0.3824411167305952, 5.735134882656643,0.5973818273631055,  55.8830807913764
145.96, -0.664037540050999,-0.5511974086617932, 0.3271984996593553, 0.3849359772193769,  5.738406896523269, 0.5618925975480306,  55.99053738942244
146.22,-0.6657851063438752,-0.548262842175589,0.3255655556449475,0.3874843476676763, 5.741894263364887,0.5349431680480849, 56.07320951971082
146.49,-0.6694607345488029,-0.5431349200198338, 0.3231203908750828, 0.3904087591266213,  5.744406900263553, 0.4920373087426372,  56.18772569290934
146.77,  -0.67276257530802,-0.5390743535581852, 0.3203464300830771, 0.3926404538294565,  5.746839924857412, 0.4517472095551002,   56.2979626890718
147.05, -0.676552177103023,-0.5339736888941828, 0.3177468479938981, 0.3952027257819319,  5.748142118181037, 0.4043444942640192,  56.43100655780722
