time,wr1,wr2,wr3,wr4
3.63,-530.9198019464791,  530.354757484938,-530.8833621896123, 530.4317047420994
3.67,-530.8795406723461,530.3021320781646,-530.941832249488,530.3705388351875
3.74,-530.7604691523959, 530.4789369316661,-531.0765986372107, 530.1294684801491
3.81,-530.8070920278398, 530.4206528851054,-531.0853592824013, 530.0848425606438
3.85,-530.6402521964999,530.2261618563335,-531.190275118923,530.2735413669399
3.92,-530.7565148997006, 530.0858589876103,-531.0769857102844, 530.2703033611805
3.98,-530.6733991108551, 530.1814140776102,-530.9625684168408, 530.3152128051109
4.07,-530.7085761300725,  530.219636018109,-531.0700293273482, 530.1035188929421
4.15,-530.7752602066817, 530.1827430925167,-531.0483974741045,  530.049804747955
4.19,-530.7124998764851, 530.2689685973913,-530.9595292907482, 530.0086435616927
4.24,-530.7769135626011, 530.0676828228131,-530.9954958736856, 530.0370124966697
4.28,-530.7671596927131, 530.0443406981683,-531.0014672286272,  530.017491397773
4.33,-530.8109175202228, 530.0210648036617,-530.9719376665558, 529.9789161871747
4.41,-530.7156775736174, 530.0188714651908,-531.0638755029738, 529.8698043278164
4.46,-530.8389036021152, 529.9418341978917,-530.9192168005351, 529.9039551338756
4.5,-530.8347592862171,  529.919841401493,-530.9036581218303, 529.8912635217205
4.57,-530.7507754234244,  530.115172421397,-530.8899552644646, 529.7620256135608
4.6,-530.7662116615144, 530.0858666104156,-530.8431302419433, 529.7834894799566
4.66,-530.8250004115922, 530.0388926174037,-530.7094137549343, 529.8375449528356
4.71,-530.7042615362653, 529.9834433229196,-530.8186390824275, 529.8513003276021
4.81,-530.7331447395374,529.9479712037576,-530.878264372084,529.7440251295081
4.88,-530.7031981042287, 529.9876664854702,-530.8075694334193, 529.7645672875515
4.95,-530.7788905943713,  529.901514289795,-530.8626820761292, 529.6783717389598
5.01,-530.8009717910113, 529.8575655481225,-530.8388701191287, 529.6773900667094
5.07,-530.8037141679001,  530.057208568239,-530.6050397458719, 529.6683241067046
5.11,-530.8182610581234, 529.8687905834046,-530.8522839603514, 529.5670186726521
5.18,-530.8060297793902, 529.8494464280901,-530.8183106014327,   529.59366510086
5.25,-530.9621336965512, 529.7046905478468,-530.8126072131976, 529.5846463099091
5.33,-531.0213927162876, 529.5919716565151,-530.7789814776028, 529.6498062436283
5.36,-530.9816517005017, 529.6163914331262,-530.7422836200295, 529.6837323562504
5.41,-530.7582474486596, 529.7799527416461,-530.6807449081296, 529.8097614304942
5.51,-530.9053753244114, 529.8358301061033,-530.5532537109933, 529.7310503127658
5.58,-530.8881613193244,529.8783588632524,-530.571565221847, 529.706719256228
5.65,-530.8800233114556, 529.8396343204882,-530.6104756987644, 529.7044478067834
5.74,-530.9097979066779, 529.8053165353011,-530.7070980104276, 529.6174987140596
5.79,-530.8922172427173, 529.8131976006712,-530.6571305371608, 529.6709954532043
5.84,-531.0074221287881, 529.7201693484694,-530.7252386845666, 529.5721205837393
5.93,-531.0986420522947, 529.6503447083535,-530.7439838675826, 529.5533231870991
