time,accX,accY,accZ,wRoll,wPitch,wYaw
9.55,   -0.86445128,    0.07858648,   -9.90189648,-0.03490658504,-0.05235987756,-0.13962634016
9.58,       -0.86445128,        0.16699627,-9.931366410000001,    -0.06981317008,    -0.05235987756,    -0.15707963268
9.62,   -0.92339114,    0.25540606,   -9.90189648,-0.06981317008,-0.03490658504,-0.19198621772
9.65,       -0.80551142,        0.31434592,-9.842956620000001,                 0,    -0.01745329252,    -0.22689280276
9.69,     -0.982331,    0.37328578,   -9.78401676,-0.05235987756,             0,-0.20943951024
9.72,   -1.10021072,    0.34381585,   -9.78401676,-0.06981317008,-0.01745329252,-0.24434609528
9.76,   -0.92339114,     0.1964662,   -9.78401676,-0.01745329252,-0.03490658504, -0.2617993878
9.79,       -1.04127086,         0.1964662,-9.754546830000001,                 0,    -0.01745329252,     -0.2617993878
9.82,       -1.20826713,        0.31434592,-9.754546830000001,    -0.03490658504,    -0.01745329252,    -0.29670597284
9.85,       -1.12968065,        0.37328578,-9.754546830000001,    -0.12217304764,    -0.03490658504,     -0.3490658504
9.89,   -1.07074079,     0.1964662,   -9.78401676,-0.13962634016,-0.05235987756, -0.3490658504
9.92,       -1.04127086,        0.37328578,-9.646490419999999,    -0.12217304764,    -0.03490658504,    -0.38397243544
9.96,   -1.10021072,    0.40275571,   -9.61702049,-0.10471975512,-0.05235987756,-0.36651914292
9.99,        -1.1787972,        0.28487599,-9.725076899999999,    -0.10471975512,    -0.05235987756,    -0.31415926536
10.02,       -1.20826713,        0.40275571,-9.725076899999999,     -0.0872664626,    -0.06981317008,     -0.2617993878
10.06,       -1.32614685,         0.4911655,-9.931366410000001,    -0.03490658504,    -0.06981317008,    -0.20943951024
10.1,       -1.41455664,        0.55010536,-9.931366410000001,    -0.03490658504,    -0.03490658504,     -0.1745329252
10.13,       -1.41455664,        0.62869184,-9.842956620000001,    -0.03490658504,    -0.01745329252,    -0.15707963268
10.16,   -1.44402657,    0.62869184,  -10.04924613,-0.03490658504,             0, -0.1745329252
10.2,    -1.4734965,    0.71710163,   -9.90189648,-0.05235987756, 0.01745329252, -0.1745329252
10.23,   -1.41455664,     0.6876317,   -9.81348669,-0.05235987756, 0.05235987756,-0.15707963268
10.27,       -1.38508671,        0.71710163,-9.725076899999999,    -0.05235987756,     0.01745329252,    -0.13962634016
10.3,   -1.26720699,    0.56975198,   -9.81348669,-0.03490658504, 0.03490658504,-0.15707963268
10.34,   -1.29667692,    0.62869184,   -9.81348669,-0.05235987756, 0.03490658504,-0.13962634016
10.37,       -1.29667692,        0.77604149,-9.842956620000001,    -0.06981317008,     0.03490658504,    -0.15707963268
10.41,   -1.32614685,    0.86445128,   -9.96083634, -0.0872664626, 0.01745329252,-0.15707963268
10.45,       -1.29667692,        0.92339114,-9.931366410000001,    -0.05235987756,     0.01745329252,    -0.15707963268
10.48,  -1.12968065,   0.77604149,  -9.81348669,            0,0.06981317008,-0.1745329252
10.52,   -1.23773706,     0.6876317,   -9.87242655,-0.05235987756, 0.06981317008,-0.13962634016
10.55,   -1.20826713,    0.71710163,   -9.81348669,-0.10471975512, 0.10471975512,-0.12217304764
10.59,       -1.07074079,        0.89392121,-9.725076899999999,    -0.12217304764,     0.06981317008,    -0.12217304764
10.63,   -1.14932727,    0.92339114,   -9.78401676,-0.05235987756, 0.01745329252,-0.13962634016
10.66,       -1.23773706,        0.92339114,-9.725076899999999,     -0.0872664626,     0.03490658504,    -0.13962634016
10.69,       -1.10021072,        0.89392121,-9.646490419999999,     -0.0872664626,      0.0872664626,    -0.12217304764
10.73,   -1.12968065,      0.982331,   -9.58755056,-0.03490658504,  0.0872664626,-0.13962634016
10.76,   -1.10021072,    0.92339114,   -9.61702049,-0.03490658504, 0.06981317008,-0.12217304764
10.8,       -0.95286107,        0.86445128,-9.558080629999999,                 0,     0.05235987756,     -0.0872664626
10.83,       -0.86445128,        0.86445128,-9.469670839999999,     0.01745329252,     0.03490658504,    -0.06981317008
