time,accX,accY,accZ,wRoll,wPitch,wYaw
2.35, -0.2841089358539209,  0.3767998067188471,  -9.836981589143065,-0.05503459604885254,-0.07166089118952466, -0.4833173844268255
2.39, -0.2841088768982319,  0.3767997434586186,  -9.834827731058054, -0.0576717455849312,-0.07321492924358337, -0.5021831894617351
2.42, -0.2841089064104265,  0.3767996690474827,  -9.835555410954067,-0.02755413757153485, -0.1343303583044383, -0.4918962838164438
2.46,  -0.2841089255602836,   0.3767996545123019,   -9.834466067200848,-0.007854607191064339,  -0.1585051425623856,  -0.4899049967766215
2.49,  -0.2841088053605274,    0.376799602684346,   -9.835842781659252,-0.005220750325282038,  -0.1318500687518364,  -0.5035682594998407
2.52, -0.2841082684998706,  0.3767995413370028,  -9.834960107906547,-0.03623998050434877,-0.09755391350622543, -0.6047640204399822
2.56, -0.2841075857681326,  0.3767993370376669,  -9.837868197685331,-0.07246636561197664, -0.1383598007906142,  -0.681022289051456
2.59,-0.2841073486971083, 0.3767991853401961, -9.843480418032902, -0.108749249654538,-0.1598217730913168,-0.6679219823318859
2.62,-0.2841077147010256, 0.3767994134088216, -9.837594737939053,-0.1589798179726256,-0.1620654065528633,-0.6371960089567433
2.66,-0.2841078612099971, 0.3767993506298956, -9.838773498585407,-0.1663478887071138,-0.1928667392565905,-0.6031457975924019
2.7,-0.2841080364842688, 0.3767994259800172, -9.836020331375318,-0.1062618336558663,-0.1819177273978561,-0.5962787104334087
2.73,-0.2841081160538457, 0.3767995357100477, -9.834912807348731,-0.1123975044391512, -0.164698157954494,-0.5809409375811725
2.76, -0.2841085746364624,  0.3767996756730778,   -9.83599000486905,-0.09724990882760851, -0.1161792853924252, -0.4934012254584955
2.8,  -0.284108915060555,  0.3767997747830467,  -9.838845342205545,-0.04869126759099664, -0.1087062654115246, -0.4199346286403756
2.83, -0.2841091663248441,   0.376799848197326,  -9.839168536940971,-0.02564817523155801,-0.03143481991545158,  -0.363272598411148
2.87,  -0.2841093196547668,   0.3767999019501675,   -9.840274747315318,-0.006630996082981969,  0.01059448076521101,  -0.3240103713286469
2.91,  -0.2841095130503904,    0.376799941993388,   -9.846171587350046,-0.003169546166312528,   0.0321407174185526,  -0.2600612631161213
2.94, -0.2841098409779668,  0.3767999905574328,  -9.854365047663414,-0.04653283253073972, 0.06598081043361373,  -0.135048328456756
2.97,-0.2841098752026183, 0.3767999925385426, -9.865289738138657,-0.0224087506680083,0.07098135807084704,-0.1106079618719851
3,-0.2841098752177464,  0.376799992406602, -9.872759428537121,0.02676371159628046,0.08684624565823335,-0.1057076007639638
3.04, -0.2841099250546146,  0.3767999996401443,  -9.876932166031372,0.004181088134175077,  0.1196179603937164,-0.07665445680568757
3.07,  -0.2841099338292273,   0.3767999991028816,   -9.878373327378096,0.0007926680910438305,  0.09409257778974434, -0.07103612325214395
3.1, -0.2841099681773649,  0.3768000022666845,   -9.88131033809888,0.000778376662670732,  0.1055073329400285,-0.04175765949296977
3.14, -0.2841099858969046,  0.3768000019659347,  -9.882465485478869,-0.02933171588357963, 0.09206313234813977,-0.02208484081309931
3.17,  -0.2841099932664327,   0.3768000015161915,   -9.874338221422406, -0.01849461344321212,  0.07490429820407001,-0.004157735427195654
3.21,-0.2841100035923377, 0.3767999970460875, -9.864874307895837,-0.1380842042821804,0.04201585463856677, 0.0271459406181183
3.24, -0.2841100069881617,  0.3767999987913983,  -9.858299278619873, -0.1716490386556704,0.006586991480092073,0.005062442452308615
3.27, -0.2841100044297055,   0.376799998896358,  -9.856534378494187, -0.1157467032028701,-0.01388920797411167, 0.01498331610719116
3.31, -0.2841099762944655,  0.3767999910869117,  -9.859331282922822, -0.1216611038299653,-0.03193156656570909,  0.0731657205987622
3.35,  -0.2841099283698892,   0.3767999789744086,   -9.855593366936908,  -0.1069436535545138,-0.004113875444193208,   0.1126902603740337
3.38, -0.2841098776766774,  0.3767999688321884,  -9.857261282043115,-0.01327842816906651, 0.01529834403360985,    0.13466685111152
3.41,-0.2841098498186018, 0.3767999586154588, -9.862414681348573,0.09195885494419277,0.04866061833107236, 0.1391609840076291
3.45,-0.2841097727777481,   0.37679992565884, -9.868868543267915,0.07780595153675808,0.08429569377644375, 0.1681003827816391
3.49,-0.284109833059559,0.3767999281665538,-9.873962227994371,0.0145038530403678,0.1503420375066568, 0.145486109732276
3.52, -0.2841098381773801,  0.3767999211678374,  -9.879347418027951,-0.01019548671049271,   0.220931054024405,  0.1411212967035059
3.56, -0.2841096988121755,  0.3767998568842013,  -9.892952563087896,-0.02812749961254401,  0.2470449441590943,  0.1825274058051086
3.59, -0.2841092177849276,   0.376799622441689,  -9.898996667430866,-0.07451925958903388,  0.2672128792577112,  0.2890047634262281
3.62, -0.2841087424444509,  0.3767993775797859,  -9.899447814997945,-0.06521925050484098,   0.271026959590539,   0.365937366777672
3.66, -0.2841084751413085,  0.3767992105104933,  -9.906890981857892,-0.03297120424573728,  0.2722124826609366,  0.3948995104465391
3.69, -0.2841083844210243,  0.3767990841505665,  -9.914635963019263,-0.05852465111155741,  0.3638199767831078,  0.4005494496078739
3.73, -0.2841083658129265,  0.3767990536142498,  -9.905469822171021,-0.09316158653305152,  0.4076059833897418,   0.415525273221975
3.76, -0.2841088483162415,  0.3767993031806094,  -9.885508189896084,-0.05436059874242496,  0.3978455760419106,  0.3760241149182401
3.8, -0.2841089021549589,  0.3767993389971001,  -9.870354575010685,-0.04907831461270225,  0.3352870491650607,  0.3963233381681096
3.83, -0.2841086530940289,  0.3767992098493868,  -9.860455918284396,-0.06346065018457757,  0.2501461973763718,  0.4704956873131819
3.86,-0.2841089918165988, 0.3767993935060249,  -9.85013817238533,-0.0514050995137411, 0.2214759006611155, 0.4427493838043651
3.9, -0.2841093546013275,  0.3767996383995448,  -9.842157150323896,-0.06553790389715705,   0.185923114846666,  0.3811481295037294
3.94,-0.2841095569126669, 0.3767997484408044,  -9.83763895290075,-0.1137022303397424, 0.1497802083280961, 0.3411591530254423
3.97,-0.2841096330490749, 0.3767997562803753, -9.829746346760857,-0.1517232678343375, 0.1137868197413887, 0.3615758623245331
4,-0.2841096120268933, 0.3767997810602044, -9.824642291992582,-0.1271026885396259,0.00198982233607321, 0.4077362889643449
4.04,-0.2841096573105469, 0.3767998946761695, -9.819355709897186,-0.0475461799091294,-0.1364349953043605, 0.4026405084380617
4.08, -0.2841096515254191,  0.3767998963307073,  -9.813513722549718,0.009783891023788203, -0.1722299177100404,  0.4297258238860208
4.11,-0.2841096960620793, 0.3767998573744273, -9.808620015438471,0.06372068334433638,-0.1470936280975537, 0.4208746543306942
4.14,-0.2841098118471033, 0.3767998999128598,  -9.80621724879734,  0.162645200755304,-0.1282059436043225, 0.3207279791013466
4.17,-0.2841098986466348, 0.3767999564696471, -9.803298264938844, 0.1923804156997469,-0.1104062020729817, 0.2309861586385193
4.2, -0.2841099208249211,  0.3767999454384401,  -9.800735092458364,  0.1207470002774313,-0.09253044225423904,  0.2276107198960688
4.24,  -0.284109927380061,  0.3767999607345148,  -9.796487417192861,  0.1403629222916797,-0.07471290581301486,   0.212899188444323
4.27, -0.2841099589945591,  0.3767999719424754,  -9.796086251563922,  0.1279405485656244,-0.08730711920702408,  0.1678753263569099
4.31, -0.284109981913807, 0.3767999862228799, -9.797322859946954,0.09561157530413202,-0.1044638860811177, 0.1169415548707091
4.34,-0.2841099953581345, 0.3767999928635495, -9.799195965671071,0.01477611220928586,-0.1071437081388568,0.07892673078739085
4.38, -0.2841100003989378,  0.3768000002622824,  -9.799799234155214,-0.07325605507745818,-0.07742055452036677, 0.01530869116354353
4.41, -0.2841099937482973,   0.376799996955571,  -9.801391474777644, -0.1319764892343967,-0.07317278270220764,-0.03925890237296403
4.45, -0.2841099857433717,  0.3767999845231862,  -9.802539993674806, -0.1103897385198396, -0.1030048442390663,-0.07799592573712645
4.48, -0.2841099965878371,  0.3768000001754984,  -9.802707879499895, -0.1677910508930703, -0.1374726479543083,-0.01526397300397532
4.52, -0.2841099985294259,   0.376800000927006,  -9.803719261199817, -0.1459514319526259, -0.1728501726748275,-0.00304741742362341
4.55, -0.2841099981896689,  0.3767999989866017,  -9.802962217781847,-0.08195089990939823, -0.1325787283635222,-0.01467424340937736
4.59, -0.2841099950927911,  0.3767999935373394,  -9.803902862682584,-0.04204807679679481,-0.09628728415425701,-0.04503737888002501
4.62, -0.2841099936144624,  0.3767999869191694,  -9.805019801014511, 0.02459488375670088,-0.07574093455027668,-0.06494995177787635
4.65, -0.2841099959201401,  0.3767999912984228,  -9.805309398494414, 0.03456520177358947, -0.0422254036594882,-0.05476819246624627
4.69, -0.2841099823349504,  0.3767999751579799,  -9.808478906738561, 0.02150042096528828,-0.06973505255217459,-0.09497895578099801
4.72, -0.2841099664385308,  0.3767999621205091,    -9.8108179490848,-0.01422992471484505,-0.08822418102588674, -0.1190022518621833
4.77, -0.2841099852791011,  0.3767999898742376,  -9.810841046986386,-0.07772080793230726,-0.07431198107364055,-0.06521411183251677
4.78, -0.2841099930532331,  0.3767999964452089,  -9.810311905048986, -0.0858552074819441,-0.05557352099684555,-0.04079598212873202
4.82,  -0.2841100000817378,   0.3767999997623261,    -9.81071062626533, -0.06294898213839628, -0.07980484179605822,0.0007285297838865445
4.86,  -0.2841100001469991,   0.3767999996798594,   -9.810711711716332,-0.009230725958262459,  -0.1327049530029761,  0.02778469828485935
4.89, -0.2841099884712227,  0.3767999947642595,  -9.808934601670458, 0.02998522654041871,-0.09544706209509862, 0.07576398601645687
4.92, -0.284109875060638, 0.3767999474210681, -9.811147739164239,0.03662556207558676,-0.1044567292029997, 0.2116938068383689
4.96,-0.2841096325834793, 0.3767998950268358, -9.815229582096544,0.03851000413085438,-0.1811434618849125, 0.3366018983689507
4.99,-0.2841097099593322, 0.3767999277694911, -9.818340451430796, 0.0840504545628504,-0.1623411871854976, 0.2766461838478991
5.03, -0.2841098901478101,  0.3767999687022693,  -9.816936213100858, 0.02931266814021605,-0.08415139459823848,  0.1804529005706306
5.07, -0.2841099281145147,  0.3767999745272423,   -9.81821682088481,-0.00938306543966879,0.003259342579424298,  0.1476624740609734
5.1, -0.2841099683654598,  0.3767999844323322,  -9.820213543646883,-0.03064886294259151,  0.0616465950078824, 0.09908177369562954
5.13, -0.2841099951152064,  0.3767999954057928,  -9.820269206497692,-0.01902786984858571,  0.1004362517092727,  0.0474432333228797
5.17, -0.2841100022311028,  0.3767999994306964,  -9.818904356463404,-0.07825384602437725, 0.09090493024020431,0.009144732449708691
5.2, -0.2841099960946541,  0.3768000012684449,  -9.819325484088415, -0.1177008785879318, 0.07418197864399102,-0.02646319872108231
5.24,-0.2841099936449619, 0.3768000019135949, -9.817232957673346,-0.1387458998568345,0.05652613445542783, -0.033406006495662
5.27, -0.2841100024823375,  0.3768000001998831,   -9.81382987955905, -0.1718713178666081,0.008440431443087719,0.007410237497046487
5.3, -0.2841100022458476,   0.376800000384765,  -9.811534234484341, -0.1312038785367758,0.001247236191625635, 0.01542176220203425
5.34,-0.2841099990952475, 0.3768000024375742, -9.810499368293527,-0.0953513639781238,0.01557729584167569,0.04508331609923214
5.38, -0.2841099690062195,  0.3768000179640603,   -9.80996102254022,-0.07180723266759334,-0.04758082735616967,  0.1131222431871046
5.41, -0.2841098927301449,  0.3768000752850456,  -9.811192686416808,-0.02371345843094377, -0.1742935938525135,  0.1911658225023235
5.45,-0.2841097349310057,  0.376800192256416, -9.813793517604646,0.02976059165615912,-0.2992330200238245,  0.276560530274705
5.48,-0.2841096148153276, 0.3768003030757831, -9.815636729805924, 0.1292590242185168,-0.3331219433854634, 0.3214627111611776
5.52,-0.2841096044337437, 0.3768002734272396, -9.816463094651951,  0.174394648146104,-0.1862931647632872, 0.3161758513589596
5.55,   -0.28410980422712,  0.3768001342741974,  -9.819041275876737,  0.1801297374651016,-0.05806210792346102,  0.2166737662567454
5.59,  -0.2841099063082644,   0.3768000655316481,   -9.826477182231965,   0.1499998775379908,-0.008473734465444659,   0.1409989118123213
5.62,  -0.2841099585539917,   0.3768000342869741,   -9.830358699828981,  0.06914247072610985,-0.001013154995971415,  0.09791805188895995
5.66,  -0.2841099724032353,     0.37680003222731,   -9.830253634009692,  0.01141478641103641,6.110251076998338e-05,  0.08941900970575786
5.69,  -0.2841099815989372,   0.3768000227485241,   -9.828080362725792,  0.06326902704855657,0.0002581632043280909,  0.07385081468437335
5.73, -0.2841099486148242,  0.3768000487270948,  -9.826194616442896,  0.1018081923139914,-0.01492511701189676,  0.1130750066405738
5.76, -0.2841098897836613,  0.3768001022931149,  -9.837719164702952,  0.1081232343823206,-0.09311365533698208,  0.1488305112616127
5.79, -0.284109973979579,  0.376800030490786, -9.849250054060542, 0.1231717588907156,-0.1046492635153517,0.07139029157505074
5.83, -0.2841100023742669,  0.3768000046106798,  -9.851718832932246, 0.01786773884673335,-0.06066314986409046,-0.01436197893864073
5.87, -0.2841099232340408,  0.3768000629606283,  -9.859716282748805,-0.04479319776710579,-0.02336736369313898, -0.1015285202358579
5.9, -0.2841098904324088,  0.3768000925822356,  -9.865429438663959,-0.09989422864595915,-0.03276635009657505, -0.1186309572734036
