time,wr1,wr2,wr3,wr4
6.06,-530.7043946937137,529.8689442155936,-530.922874546489,529.6208124049043
6.13,-530.8126794209434, 529.8108592052427,-530.9064180551954, 529.5878520152769
6.2,-530.8172753641779, 529.7148188259436,-530.9529585312666, 529.6606184553118
6.27,-531.0154611753284, 529.5360768727479,-530.9578508127305, 529.6808981027559
6.33,-530.7185748304197, 529.5810737119502,-530.9631468303627, 529.8192161663196
6.38,-530.7235339442932, 529.6837954334494,-530.8530708702166, 529.8408431146491
6.45,-530.7246003043599, 529.7098342015844,-530.6507930612928, 530.0676349314111
6.54,-530.6644631173278,529.9691473277285,-530.616587587205, 529.905774304937
6.57, -530.700845091989, 529.9379325765511,-530.5243839472095, 530.0368381031354
6.64,-530.6535140997958, 529.8810138532443,-530.6112066464995, 530.1060187021186
6.68,-530.8649494459248, 529.9545071986138,-530.5974409943223, 529.9006699629095
6.78,-530.7382702557687, 529.8371406614572,-530.6175124203895, 530.0865102465082
6.81,-530.8144960915172, 529.7270441658205,-530.7688152071939, 529.9337184541647
6.85,-530.6844118424261, 529.8161354517101,-530.8143850394295, 529.9584094247285
6.9,-530.6648204729527, 529.8365879032872,-530.8019659028685, 529.9735434848149
6.97,-530.6251249688528, 529.6851634769066,-530.8864902029717, 529.9832270726923
7.02,-530.7137242653214, 529.7778381646251,-530.6643574614394, 530.0110684316875
7.07,-530.5572939698593, 529.8850688931396,-530.5595700632635, 530.2097988469395
7.13,-530.6325781968868, 529.8418813095509,-530.6497106652602, 530.0925078966799
7.2,-530.5454513274317, 529.6315714543156,-530.8780885468594,   530.03497327911
7.26,-530.7269458089651, 529.7313193135907,-530.5958028944461, 530.0650562987672
7.34,-530.5690075548358,529.8031862649225,-530.560216873678,530.1927988352953
7.42,-530.6859807596142, 529.8000354118628,-530.6853780823336, 529.9841313098251
7.49,-530.7016218031073, 529.8984120634304,-530.6945694940221, 529.8973237637659
7.53,-530.7375298687878, 529.8549124728423,-530.7686131973815, 529.8237309929289
7.6,-530.7063978146805, 529.5387239000132,-530.9275411553863, 529.9123741371874
7.66,-530.8908938776043,  529.647177931338,-530.6086742539239, 529.8841385110873
7.75,-530.7034963579454, 529.8370312488191,-530.5606831012966,  529.935780809183
7.81,-530.8211999605184,  529.664235741469,-530.8306885371564, 529.6479678441492
7.9,-530.9303149387666, 529.5849860119869,-530.8258433093947, 529.5863620890105
7.97,-530.7665467660406, 529.6808620175864,-530.8522387475699, 529.6128185085595
8.05,-530.6041408531257, 529.5885918799331,-530.9200005555181, 529.7108686515106
8.09,-530.4796830130651,529.6912611206182,-530.794516863609,  529.77862921235
8.15,-530.4768437713994, 529.8073884030259,-530.6910561383952, 529.7458499407365
8.19,-530.5724640727638, 529.8980726969262,-530.4440003577459, 529.7985973824259
8.28,-530.3513019803288,529.8592881441051,-530.640344872456,529.7173186132246
8.32,-530.3706869973612, 529.8060661657457,-530.6563267621179, 529.6175250667974
8.38,-530.2733152434441, 529.8514823143829,-530.5429272331104, 529.7135819524269
8.41,-530.2232521003374, 529.9834337254157,-530.4661319791358, 529.6711639335985
8.45,-530.2257380982595, 529.9612612046617,-530.4340383993692, 529.6723410076492
8.52,-529.7966875170723, 529.8579450470921,-530.4152758304289, 529.9626746689439
8.56,-529.8208699608649, 529.7706302320753,-530.2655873868674, 530.0337956411963
8.63,-529.9516323156098, 529.6684090883796,-530.3003524767751, 529.8784874104846
8.66,-530.087979161986,529.6509465650975,-530.491336982894,529.5517076957639
8.7,-530.2564588254063, 529.5338831524836,-530.5379884364808,  529.415069752058
8.77,-529.8729164114944, 529.4202688594695,-530.7077121366852,  529.482466060914
8.81,-529.8362892331504,529.3641063315143,-530.517959687702,529.6282625571623
8.9,-529.9290803807919, 529.4951112206787,-530.3478179927679, 529.5206380466068
8.96,-530.1985631164567, 529.3841843614019,-530.2954263759814, 529.2813922245168
9.02,-530.0778900864781, 529.3880640812117,-530.4096243784273, 529.2248993282864
9.08,-530.0692929035129, 529.5520515910446,-530.3065001959779, 529.1152558648523
9.13,-530.0504296982743, 529.5633032839115,-530.1918856674162, 529.1688709277057
9.21,-529.7759610560885, 529.5007309300205,-530.1014557441397, 529.4573835754056
9.29,-529.7784063874259, 529.5861375081392,-529.9025636643402, 529.4909702620629
9.34,-529.9392919075453, 529.4469990767277,-529.9577178698898, 529.3570831353006
9.38,-529.8805074609265, 529.4194098886628,-530.1810631220758, 529.1550267403853
9.43,-529.9475825636157, 529.3754697015315,-530.1181946348372, 529.1328763489511
9.5,-529.9277607362179, 529.3715449034299,-530.1325226159719, 529.1002274858458
9.56,-530.1155442890019,  529.278736344841,-529.9474342145626, 529.1452317889255
9.64,-530.0159854059089,  529.367899329578,-529.9223498673825, 529.1149753257323
9.68,-530.0264413421786, 529.3476774162458,-529.8661068838177, 529.1209701754932
9.76, -530.043977598528, 529.4083791068085,-529.9887084653733, 528.8776744895838
9.84,-530.2096815285829, 529.3273838644476,-529.7964520252865, 528.9405203925438
9.87, -530.263412018298, 529.1935142466472,-529.8659621723428, 528.8897297413286
9.91,-529.8607145421495, 529.2726870974094,-530.0628293799712, 528.9622047199953
10,-530.0726904535601, 529.1948622314941,-529.8630348477811, 528.9786036482365
10.05,-530.1546714655517, 529.0370145217066,-529.9556798249159, 528.9421002562145
10.1,-530.1856833203519, 528.9878569521348,-529.9458316895054, 528.9377982529777
10.17,-529.9952527145414, 529.1010993349038,-530.0064576714199, 528.9503536381933
10.2,-530.1353570867603, 528.8955289794586,-529.8499621898914, 529.1522627540171
10.23,-530.1907520747537, 528.8235885076118,-529.8967319624021, 529.0946251468334
10.28,-530.4053942931688, 529.1068933493278,-529.5732423942885, 528.9064156715206
10.34,-530.0899828652958, 529.2619684267366,-529.5509872234676,  529.090988308879
10.41,-530.0850060893886, 529.0701343803174,-529.7303862739044, 529.0700466525406
10.46,-530.2857751323841, 528.9493651219135,-529.8959574300275, 528.7817833780748
10.52,-530.1531927642085, 528.9516578935406,-529.8999983095513, 528.8977365131561
10.58,-530.3670552600348, 528.7724794655576,-529.9858740755782, 528.7460467288246
10.65,-530.2841859935792, 528.8065406099854,-530.0729296322691, 528.6929003093035
10.69,-530.2515217651169, 528.7947783673302,-530.0752512639897, 528.7277383860852
10.76,-530.3993925650461, 528.6452740979363,-530.0045555364377, 528.7866776587854
10.8,-530.3531770110264, 528.6430076707012,-530.0288246104976,  528.807293859459
10.85,-530.4100570898421, 528.6252765089117,-529.8067349955994, 528.9876021353703
10.9,-530.2733622105266, 528.7317236272564,-529.7623986026464,  529.061030455079
10.95,-530.1697247164383, 528.9710417544371,-529.5665482970076,  529.130158886882
11.01,-530.0048856378083, 529.1967502072231,-529.6039091119915, 529.0531010470716
11.06,-530.0684244119944, 529.0775000292309,-529.7514830098246, 528.9637982938162
11.14,-530.4112233095964,   528.85691835265,-529.8948938500952, 528.6870520745974
11.18,-530.4458603968437, 528.7229422666028,-530.0703433856969,  528.608464961271
11.25,-530.5889008365508, 528.4356210667152,-530.3245095088024, 528.5159734324163
11.29,-530.4029670892239,528.4587316334234,-530.511837721814,528.5017831665933
11.37,-530.2296293279337,528.5345016063527, -530.37207080744,528.7754500717659
11.43,-530.2275331728969, 528.7519896444685,-529.9859632699637, 528.9838743361573
11.5, -529.91967130002,529.0559067116948, -529.73820484468,529.2805598000647
11.57,-529.9614172892834, 529.0260043936662,-529.6776491129846, 529.3410905442189
11.65,-529.7405066512758,  529.015828603488,-529.8758864799747, 529.3962970730132
11.7,-529.7618164682126, 529.0391034322532,-529.9130565887551, 529.3447496023025
11.75,-529.8510859625603,529.2478409928317,-529.527307699933,529.4567989776609
11.78,-529.7023161057282, 529.3771245467001,-529.4672878137961, 529.5635239437109
11.85, -529.853834550041, 529.1484697798537,-529.6951368307452,  529.426501550738
11.92,-529.9473327739944, 529.0591447508674,-529.8644838517353, 529.2648894938384
11.98,-529.8940385668299,    529.0132402962,-530.0367944696586, 529.1957965958712
12.04,-529.8249051163863, 529.1183602171348,-530.0278664866235, 529.1818806735097
12.12,-529.9435876379032, 529.1050170153118,-529.7828888339639, 529.3354822344847
12.16,-529.7081492684276, 529.1361947055278,-529.8206199077371, 529.4997665304703
12.23,-529.8115915117515, 529.077531683548,-529.937011440535,529.3394859456066
12.27,-529.6743916719518, 529.2357237581624,-529.8952497556376, 529.3831095703591
12.35,-529.6202751813415, 529.3514397680344,-529.8972903465816, 529.3483096561613
12.39,-529.6025349032495, 529.3876029728078,-529.8821639348943, 529.3697220925493
12.48,-529.7209115084465,  529.246052314578,-529.8237598272159, 529.4092039429685
12.57,-529.5833470184355, 529.2113161879812,-529.8891213976472, 529.4947977724997
12.59,-529.5572804769013,529.2180989797089, -529.89614269686,529.4963978494326
12.65,-529.5832201245636,  529.329067054343,-529.8100989179509,  529.415708357978
12.71,-529.6599757425518, 529.3818845131116,-529.6503795591375, 529.4265642797156
12.77, -529.660591722899, 529.3391617211583,-529.6724637825751, 529.4206890987267
12.83,-529.7590104221105, 529.245467399801,-529.792036958853,529.2653271394551
12.87,-529.9067416793905,  529.138025758116,-529.9238816442866, 529.0379250978267
12.92,-529.7123131831718, 529.1998138252188,-530.0249028925691, 529.0292137940113
12.98,-529.7098147273427, 529.1926511124693,-530.0045913155938, 529.0208925619635
13.07,-529.5649773494683, 529.2388907684349,-529.9098320568162,  529.163614916143
13.14,-529.5837683606142, 529.3687519764526,-529.7449906422192, 529.1369248934114
13.22,-529.5535224757358, 529.3425689195091,-529.5881430572387, 529.3049205104653
13.25,-529.5459651328697, 529.3070091707663,-529.6909477017556, 529.1826801301526
13.35,-529.6678080331711, 529.1682038413722,-529.8261642537997, 529.0079148808753
13.39,-529.6654063805977, 529.1469029414028,-529.8090910822139, 528.9994746158889
13.44,-529.4343302858408,529.1888042538779,-529.878397213155,529.0798926735716
13.48,-529.4502670477507, 529.1795259228635,-529.8257868932238, 529.0833510854148
13.56,-529.5247019169616, 529.3133668956061,-529.5302057812353, 529.0845994501051
13.6,-529.6590862537211, 529.1285028269102,-529.6827330052378, 528.9257347487492
13.65,-529.6351877484685, 529.1229937512054,-529.6394257793396, 528.9311232217369
13.73,-529.3932797281848, 529.1533629899221,-529.7448496315122, 528.9899520597857
13.77,-529.2266593631283, 529.2846926804337,-529.6733414251648, 529.0205036861956
13.82,-529.3632142918592, 529.0819885475626,-529.6639166720703, 529.0370955201088
13.87,-529.3612913215126, 529.0699967326349,-529.5991346105725, 529.0629385864196
13.92,-529.5296868030139, 529.0606215018665,-529.5582416649697, 528.9108223618159
13.97,-529.5888630751307, 528.9907124333292,-529.5691327151332, 528.8728171984203
14.05,-529.5266544649476, 529.1345151973227,-529.5952902604454, 528.7029115958875
14.1,-529.4123799579999,529.0732715886029,-529.660261397451,528.7671434828065
14.16, -529.324416930716, 529.1115361827357,-529.5682869401593,   528.85886378412
14.2,-529.4526303826733, 528.9209024758741,-529.5785048718352, 528.8603193148613
14.26, -529.492839217256, 528.8701710864939,-529.5551824168488, 528.8462457020649
14.31,-529.4514739325215,528.9850272036442,-529.558636166158,528.7493982553492
14.4,-529.5579233140096,  529.022511507743,-529.3471675995444, 528.7810317073455
14.47,-529.5850347677443, 528.9581522570559,-529.3940939512803, 528.7274480302531
14.54,-529.5563863506674,528.9463589483905,-529.398831117492,528.7082301303989
14.59,-529.5467003863686, 528.8994780430303,-529.3904526054307, 528.7180860122839
14.64,-529.4545423785582,528.8516029019997,-529.499181016431,528.6994244476596
14.7,-529.475663943221,528.7946841865274,-529.494300962168,528.6951617458983
14.75,-529.4683991171929,528.6436478340628,-529.525649690811,528.7843749057419
14.83,-529.6960473834988, 528.5276773674859,-529.3445479532622, 528.8042968156005
14.88,-529.5351155202793,528.6256869797597,-529.449405441736,528.7377896172057
14.98,-529.4969882598597, 528.7319683952984,-529.5220716886798, 528.5753865314833
15.06,-529.5824432896181, 528.5862746790973,-529.4116342002808, 528.7047203838908
15.17,-529.6559567864778,528.4785745518438,-529.451806388337,528.6492256437865
15.24,-529.5510761221915, 528.6166278215118,-529.4558782579976, 528.5738320265502
15.32,-529.5186631807611, 528.6195742280188,-529.3437800602096, 528.6622173663833
15.38,-529.4932637509557, 528.5926654279103,-529.3699281461681,  528.646678832006
15.44,-529.6357279971245,  528.398720653128,-529.3519292171932, 528.6734644963285
15.51,-529.6573120361562, 528.4344937543713,-529.4510703035947, 528.4882799429853
15.58,-529.6430789543388, 528.4215819348107,-529.3877283039782, 528.5323359751313
15.63,-529.6400442676227,528.3858391233555,-529.397724118586, 528.520735688445
15.67,-529.6276477274606, 528.3627067357608,-529.4441038077624, 528.4776271410295
15.76,-529.6343836417423, 528.2332931699038,-529.5756917258809, 528.4500654646406
15.85,-529.6420335637301, 528.3722138001528,-529.4822283370071, 528.3713465727956
15.92,-529.6334067070651,528.4084032134986,-529.417755578802, 528.399121704978
15.96,-529.5383730029625,528.2501865267279,-529.465139215238,528.5848825080183
16.02,-529.6222774659265, 528.1103744233897,-529.4889878932302, 528.5631645774351
16.1,-529.5149545601339, 528.2243242969662,-529.4233568465974, 528.5977525157076
16.15,-529.4689872624335,528.3645706242041,-529.388666306829,528.5375676976308
16.18,-529.4272007461066, 528.4089385341033,-529.3783027642202, 528.5470294091916
16.22,-529.4468192864954, 528.3469178303866,-529.3985693480411, 528.5820003060048
16.31,-529.3729890876876, 528.4347067249039,-529.4847236052327, 528.4898959959899
16.38, -529.433138558065, 528.3237769711469,-529.3984563530673, 528.6232559913138
16.45,-529.3240294130076, 528.2871736243762,-529.4757094573005, 528.6990457199636
16.52,-529.4426136713254, 528.4879491305071,-529.2984429901252, 528.5482265075661
16.59,-529.2622624658882, 528.5365363649674,-529.2725400765275, 528.7060830721304
16.69,-529.3940122536064, 528.2994369550311,-529.3392580136014, 528.7186393371412
16.76,-529.3363875092626,528.3866084049126,-529.382059672453,528.6220106579495
16.83,-529.5371482800401, 528.3611336427756,-529.3381207723537, 528.4770023777401
16.87,-529.4709662318859, 528.4121129560903,-529.3373047466301, 528.4859701999477
16.91,-529.5024208345716, 528.2919141251086,-529.3919210746103,  528.498257572683
16.96,-529.5027572836175, 528.2909797947261,-529.4422778475041, 528.4283207493669
17.01,-529.2741767510574, 528.5768860666058,-529.6000229606058, 528.2356997719984
17.06,-529.266055020655,528.5929377997769,-529.554519967514,528.2901345999491
17.11,-529.0335494029578, 528.5691880794126,-529.3520261371415, 528.7579878788529
17.18, -529.001040881947, 528.7532755359633,-529.1201671548455, 528.8538879021496
17.23,-529.0054785488783, 528.8636578934469,-529.2439245898288,  528.648849108823
17.3,-529.0948767311139, 528.8003962604805,-529.3115413679817, 528.5802045434067
17.35,-529.0909717883478, 528.7250799875004,-529.2151425843733, 528.7594606904182
17.41,-529.1106220426365, 528.6967395388426,-529.2649816951621, 528.7116377190655
17.51,-529.0843865818318, 528.6862994399419,-529.1632185193541, 528.8341309975424
17.61,-529.0770221788725, 528.6947645713485,-529.1682116858962, 528.8108993116837
17.66,  -529.15122914969, 528.6452217366591,-529.2170011519619, 528.7219659739815
17.73,-529.2931997852706, 528.5163329837405,-529.4631829352288, 528.4638261912957
17.81,-529.2091282128441,528.6384192467208,-529.479499909964,528.4075813180452
17.85,-529.2942481955796, 528.6226098731001,-529.2821174142719, 528.5212185858317
17.92,-529.2093691333672,528.6853839623725, -529.20267946944,528.6014252703267
18.01,-529.0283263222067,528.6907520912519,-529.328273326536, 528.631551575696
18.11,-529.0731904423516, 528.6578915637623,-529.3638666788891, 528.5592526775262
18.17,-529.0970685660239, 528.6224774831242,-529.1810329624363,  528.720392882914
18.22,-529.0788834990672, 528.6363611518263,-529.1474711487465, 528.7294132834352
18.29,-529.1806960507212, 528.8050018990008,-529.3212234019254, 528.2876292144331
18.36,-529.1877292334258, 528.7328821492738,-529.2378563206988, 528.4239108036977
18.41,-529.0421607837817, 528.8197571931257,-529.1060506182595, 528.5845025290809
18.46,-529.1153443639738, 528.6788108324531,-529.1115498406533, 528.6120682206767
18.53,-529.1031999328432, 528.6865053533998,-529.1365144468865, 528.5680937041177
18.61,-529.0465824772311, 528.7703735045664,-529.1115830490108, 528.5543210883241
18.68,-529.0723256381909, 528.7220467775749,-529.1045278471274, 528.5641544986903
18.73,-529.0042131438497, 528.6264432707629,-529.1414978918456, 528.6801796209814
18.78,-529.0305103402958, 528.5976862593795,-529.1274887954165, 528.6745042666918
18.82,-529.1881875378489, 528.7082814878947,-529.2348733938807, 528.3177468216799
