time,qPTAM0,qPTAMi,qPTAMj,qPTAMk,XPTAM,YPTAM,ZPTAM
12.14,  0.8696481585502625,-0.01439043879508972,-0.01674176752567291, -0.4931771457195282,0.007164595182985067,  -0.142725333571434,   1.927645564079285
12.4,  0.8681381344795227,-0.01493615098297596,-0.01562184002250433, -0.4958507716655731,  0.0203838087618351, -0.1117768213152885,   1.977517604827881
12.62,  0.8667610883712769,-0.01532276812940836,-0.01396437361836433, -0.4982914328575134,  0.0343194268643856,-0.08063556253910065,    2.02836012840271
12.84,  0.8656466603279114,-0.01546980626881123,-0.01190342847257853, -0.5002737045288086, 0.05013312771916389,-0.04788463935256004,   2.080021858215332
13.04,   0.8648260831832886, -0.01533552724868059,-0.009473600424826145,  -0.5017468333244324,  0.06599161773920059, -0.01668986864387989,    2.132994890213013
13.25,   0.8642222285270691, -0.01520996913313866,-0.007075062487274408,  -0.5028294920921326,  0.08346359431743622,  0.01484000403434038,    2.186418771743774
13.5,   0.8639250993728638, -0.01528145093470812,-0.004989565815776587,  -0.5033626556396484,   0.1006832122802734,  0.04516595229506493,    2.240595579147339
13.75,   0.8639341592788696, -0.01557591650635004,-0.003277977462857962,   -0.503352165222168,   0.1187018156051636,   0.0737566202878952,    2.296152114868164
13.97,   0.8642238974571228, -0.01611576043069363,-0.002043426968157291,  -0.5028440356254578,   0.1361857354640961,   0.1013907790184021,     2.35204029083252
14.18,    0.864782452583313, -0.01695875637233257,-0.001271096291020513,  -0.5018576383590698,   0.1533989757299423,    0.129192903637886,    2.408515453338623
14.36,   0.8655840754508972, -0.01810359954833984,-0.001018819049932063,  -0.5004341602325439,   0.1706637293100357,   0.1558074206113815,     2.46574592590332
14.6,   0.8665473461151123,  -0.0194372832775116,-0.001154689583927393,  -0.4987138211727142,   0.1874310076236725,   0.1816106885671616,    2.523528337478638
14.75,   0.8673858046531677, -0.02118829637765884,-0.001987044233828783,  -0.4971799850463867,   0.2044174075126648,   0.2073769420385361,    2.581719636917114
15.02,   0.8680709600448608, -0.02311175502836704,-0.003168742638081312,  -0.4958906471729279,    0.221278116106987,   0.2329608947038651,    2.640409708023071
15.3,   0.8685701489448547, -0.02495729364454746,-0.004385593347251415,  -0.4949168860912323,   0.2387307584285736,     0.25839564204216,    2.699612617492676
15.53,   0.8688382506370544, -0.02691368013620377,-0.005458064842969179,  -0.4943327903747559,   0.2569712698459625,   0.2851746678352356,    2.759156465530396
