time,qPTAM0,qPTAMi,qPTAMj,qPTAMk,XPTAM,YPTAM,ZPTAM
60.78, 0.7589499101404302,-0.4250312036984729, 0.2455800212645657,-0.4278235215433854,  5.252272239711545, -2.320805414406723,  18.48429099606222
61.01, 0.7577728339373839,-0.4275329636094389, 0.2481639664567468,-0.4259219947078558,  5.239966650977528, -2.367849166024581,  18.60443714423694
61.23, 0.7558947766338958,-0.4300869142334977, 0.2507633322534535,-0.4251647759510109,  5.226468747636217, -2.413155785909828,   18.7215235497125
61.48, 0.7553031656778697,-0.4312042087299507, 0.2529403571201709,-0.4237926812488791,  5.217222140388857, -2.443139974111215,  18.81531139581179
61.71, 0.7542363700390062,-0.4330139988133681, 0.2560025716071148, -0.422004811491779,  5.205016515263861, -2.477775467186765,  18.91484223609478
61.98, 0.7519334892983075,-0.4370167601873555, 0.2581414585247833,-0.4206832169546877,  5.178638483975423, -2.539000522565076,  19.07296126475764
62.19, 0.7514642389399575,-0.4389684702023635, 0.2597965232510295,-0.4184649912703484,  5.168164512055221, -2.559958457782992,  19.16705696754407
62.42, 0.7504088794441033,-0.4420328828980946, 0.2607625604689333,-0.4165277107174963,   5.14670193446731, -2.599167059354389,  19.29867327242428
62.68, 0.7500552745297961,-0.4453646885292862,  0.260913642701423,-0.4135099189416699,  5.128368687368928, -2.629049015920812,  19.42786803582056
62.87, 0.7490143090341361,-0.4486524131903393, 0.2610734588269594, -0.411738058413789,  5.114574916725956, -2.650556225190216,  19.52595363701053
63.09, 0.7469966982411077,-0.4524177970280457, 0.2608659502867393, -0.411414667190899,  5.101781132027553, -2.671037896596331,  19.63307128188155
63.31, 0.7445207137330467,-0.4566406130505667, 0.2606746880686779,-0.4113586841008259,  5.085867428881636,  -2.69502655062318,  19.74325146196757
63.56,  0.740579478366922,-0.4620602714263074, 0.2615220826727443,-0.4118829259818421,  5.056148131053493, -2.737141375705634,  19.91784661244216
63.8, 0.7391585051294192,-0.4645666328307156,   0.26171411362987,-0.4114939529710401,  5.046966860770473, -2.750687940917953,  20.01437963944663
64.05, 0.7349190411659485,-0.4690278116892759, 0.2636366210562553,-0.4127973467469976,  5.022587808696745, -2.784553687356609,  20.17974430297697
64.28, 0.7321757380050478,-0.4714287660258491, 0.2652361076511844,-0.4139111222083631,  5.009998706033747, -2.803941131986146,  20.30495674832892
64.56, 0.7279896711468654,-0.4747508383129311, 0.2692785676986814,-0.4148864131933257,  4.990100738895472, -2.832421000387593,  20.45114444809393
64.84, 0.7249867586806723,-0.4765012415209925, 0.2721212161468665,-0.4162809303091166,  4.973125498663428, -2.856820111369883,  20.58893362526984
65.07, 0.7228221168638147,-0.4789569180352503, 0.2736900332735273,-0.4161985420145677,  4.961861589109821, -2.873821290271559,  20.68979936485767
65.38, 0.7196114664593082,-0.4818949394153303, 0.2762485560421976,-0.4166801442838481,  4.940171417822645, -2.903765923165647,  20.83429770983061
